person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id
Leontin Toma,leontintoma,leontintoma@email.ro,6380524082593,2004-11-05,"Soseaua Dobre, Darabani, 143379",0754 027 161,96:ed:d5:a3:1b:91,192.152.55.123,RO42QKSL3357459337136282,2025-04-10 10:49:49,14451,326,462,236031,236ad7e4-1a0b-42ea-a3d9-296740cb2c3f
Nicoleta Suciu,nicoletasuciu,nicoletasuciu@kappa.ro,4551115298054,1920-07-26,"Strada Agnos Voinea Nr. 104, Salonta, 580510",0758 111 539,c2:f9:81:6a:da:d6,152.183.238.142,RO88QNQG1119245760481322,2025-04-10 10:49:49,34954,844,188,650768,ed1d9711-8b45-4669-b2c2-fbd0911d379c
Daiana Toma,daianatoma,daianatoma@zzup.ro,1160119365569,1934-08-31,"Intrarea Matilda Mazilescu, Ocna Mures, 322232",0736 834 289,7e:a6:56:4b:b7:79,207.2.6.95,RO47QBCH1880373615606847,2025-04-10 10:49:49,25730,635,391,121124,0a17166e-71ed-4110-abb3-215984c5e38f
Frusina Marin,frusinamarin,frusinamarin@141.ro,1910808016912,1943-12-31,"Bulevardul Virginia Popa Nr. 435, Baicoi, 429624",0762 052 780,cc:4a:2d:6f:6c:29,179.191.28.219,RO78GGLY5026258628815783,2025-04-10 10:49:49,12959,701,202,915651,85e4414c-227f-429c-8ce6-8cab28ee32ad
Cristina Pop,cristinapop,cristinapop@kappa.ro,8091108449172,1948-10-01,"Bulevardul Albu, Berceni, 561294",0734 540 877,0a:a4:0b:bb:80:16,152.129.180.130,RO74XFTV9675832444363988,2025-04-10 10:49:49,17317,329,709,1967648,9cc16e41-82b2-4e43-91df-7569fca557cf
Martin Marin,martinmarin,martinmarin@post.ro,8800720431354,2012-11-25,"Aleea Diaconu Nr. 85 Bl. 50  Sc. 13 Ap. 748, Pascani, 541166",0251 044 178,68:53:29:c8:58:b8,211.136.167.41,RO76CIPQ4131397475752204,2025-04-10 10:49:49,35604,449,546,1712379,bd5fe6e0-95f2-4b5d-9220-fe439cb39b0b
Cantemir Diaconescu,cantemirdiaconescu,cantemirdiaconescu@acasa.ro,6770315085633,1964-06-15,"Intrarea Dinu, Ludus, 878682",0758 804 990,be:05:ff:06:34:64,120.198.54.88,RO24ERWP5678726562803189,2025-04-10 10:49:49,15282,550,742,460929,71ec2d1e-05c3-4b89-bf57-ffd03721c1bd
Cornel Tomescu,corneltomescu,corneltomescu@zzup.ro,8630922264090,1962-08-01,"Intrarea Voinea Nr. 547 Bl. 13  Sc. 79 Ap. 226, Tufesti, 720708",0753 599 238,90:ca:ff:3b:c7:d9,36.17.126.73,RO75XSKC9766080348993793,2025-04-10 10:49:49,23324,280,21,1196020,a4580d5e-e7c2-4f15-88a7-4316a6799ace
Alex Diaconescu,alexdiaconescu,alexdiaconescu@gmail.com,8091008356758,2015-11-06,"Strada Pușcașu Nr. 76 Bl. 49  Sc. 42 Ap. 719, Slobozia, 355120",0736 096 450,96:af:92:e6:f9:33,108.6.110.58,RO04SNWZ9467259896560432,2025-04-10 10:49:49,5402,126,618,1919224,46195ff3-384b-4c90-9038-5360cda1f5ed
Flavia Georgescu,flaviageorgescu,flaviageorgescu@acasa.ro,7971112344767,1924-10-04,"Drumul Tabacu Nr. 79, Strehaia, 900667",0762 082 569,76:79:f0:8f:85:83,54.36.248.156,RO59GVZU4965099338440281,2025-04-10 10:49:49,22108,841,320,1810675,cda83bfe-5574-4e20-a90b-d23a5f047e58
Axenia Niță,axenianiță,axenianiță@kappa.ro,6720819402273,1953-03-21,"Aleea Loredana Oprea, Buftea, 766316",0238 955 232,32:17:93:ce:15:9d,183.115.19.101,RO66ESIL7424465177484011,2025-04-10 10:49:49,30895,166,352,751050,9c049d79-3f49-4bd4-a932-19a3a418bb8d
Lorin Manole,lorinmanole,lorinmanole@zzup.ro,4880821028761,1925-03-06,"Intrarea Georgescu Nr. 712 Bl. 81  Sc. 31 Ap. 803, Sadova, 224334",0767 678 223,c2:47:7f:17:ab:cc,194.6.77.27,RO68DKET1261798878278509,2025-04-10 10:49:49,22939,423,0,1476192,9627ed4e-9790-4015-b35d-cd2fdbd13341
Marcheta Ioniță,marchetaioniță,marchetaioniță@zzup.ro,7770314312816,1947-05-25,"Soseaua Mădălin Ardelean Nr. 43 Bl. 40  Sc. 14 Ap. 902, Titu, 186241",0751 670 731,c8:2c:6d:d5:a1:9d,108.25.247.134,RO75TYJN1311711009254637,2025-04-10 10:49:49,10358,272,555,230987,b12716a3-7971-4efc-8215-f8c1d316ff99
Cosmina Dinu,cosminadinu,cosminadinu@141.ro,6700521100846,1968-12-26,"Bulevardul Niță Nr. 72, Dobroesti, 369691",0742 454 979,ca:38:48:d4:d1:f2,16.37.148.19,RO13YWYP6897702585274631,2025-04-10 10:49:49,13166,382,195,39247,9d086c8d-8ebf-43a9-aa51-57a422ae2096
