person_name,user_name,email,personal_number,birth_date,address,phone,mac_address,ip_address,iban,accessed_at,session_duration,download_speed,upload_speed,consumed_traffic,unique_id,is_current
Adriana Dumitrescu,adrianadumitrescu,adrianadumitrescu@post.ro,5771012369314,1923-02-06,"Intrarea Manole Nr. 69 Bl. 22  Sc. 42 Ap. 426, Turnu Magurele, 445497",0231 871 587,dd:8f:74:1b:2f:54,170.122.247.89,RO31ZIUF3808700597114254,2025-05-05 13:54:55,32258,924,438,180282,68ebe4f4-c718-4928-9270-fbabbfa119ce,true
Dariana Nemeș,dariananemeș,dariananemeș@gmail.com,4661006176199,2020-07-05,"Intrarea Toma, Cudalbi, 932236",0727 317 375,09:1f:31:e5:16:12,157.196.126.243,RO55MMOM1583875067239579,2025-05-05 13:54:55,6710,24,409,375037,e5f3aa54-0b21-4abf-929a-4fda2f4f70f4,true
Florentina Dumitrescu,florentinadumitrescu,florentinadumitrescu@zzup.ro,2730215256073,1920-10-06,"Aleea Ina Stancu, Topoloveni, 165035",0241 046 378,60:53:49:6f:2d:e4,62.214.106.108,RO19ZJJL6814054850839936,2025-05-05 13:54:55,9446,232,647,813436,f590d28f-3d4a-4d15-a88b-80e1d126e046,true
Anica Tudor,anicatudor,anicatudor@email.ro,2740608264515,1961-04-24,"Intrarea Nistor Nr. 96, Baraolt, 688725",0736 082 372,e2:4c:f6:ef:02:25,59.163.237.33,RO16FANW8035393503962754,2025-05-05 13:54:55,33131,35,104,522302,667f5557-f9d3-40bb-8d22-d3233f22da11,true
Angela Ardelean,angelaardelean,angelaardelean@gmail.com,4990228336638,1923-05-28,"Drumul Popescu, Marghita, 792628",0264 884 431,ac:fc:d5:6c:64:42,184.209.111.223,RO05GWIC7692116541533521,2025-05-05 13:54:55,28617,777,621,1460453,5017f7e9-0728-419e-a596-1204dad8be14,true
Estera Nemeș,esteranemeș,esteranemeș@gmail.com,7741013389222,1914-10-19,"Intrarea Preda Nr. 499, Petrosani, 243230",0747 641 597,54:13:3a:ac:6d:64,70.148.217.116,RO47XWMY0138834951713079,2025-05-05 13:54:55,13944,531,47,1352724,51a7a25c-cc36-4f06-bc7d-ef1056c08295,true
Olga Popa,olgapopa,olgapopa@kappa.ro,2141126095771,1916-05-30,"Drumul Ionescu, Talmaciu, 671960",0255 411 440,fe:54:11:75:98:17,52.185.124.222,RO20LSNE1869652403638393,2025-05-05 13:54:55,672,990,614,820642,012f9856-491e-444f-b5b6-7a430981023e,true
Zaraza Tudor,zarazatudor,zarazatudor@kappa.ro,1801129156582,1990-10-07,"Strada Varvara Popescu Nr. 57 Bl. 28  Sc. 82 Ap. 568, Targu Neamt, 802953",0260 924 784,64:70:3c:c1:a1:0d,132.109.217.99,RO09FDCT1516236969416128,2025-05-05 13:54:55,35035,133,239,199151,2a88bb01-97c5-4643-a9db-e4ea9b58cd0e,true
Emanuel Dinu,emanueldinu,emanueldinu@email.ro,5230302048103,2016-05-29,"Bulevardul Ioniță Nr. 46 Bl. 29  Sc. 47 Ap. 300, Husi, 178761",0763 714 067,ab:1b:5a:77:12:9b,98.127.215.77,RO45ONTP8951502550050375,2025-05-05 13:54:55,16399,936,42,995226,cc30e115-5769-4c67-8b23-b2f623628db5,true
Ecaterina Stan,ecaterinastan,ecaterinastan@acasa.ro,4030621451661,2009-04-01,"Strada Pușcașu Nr. 15, Mizil, 296225",0760 779 463,2a:4e:0d:a3:0f:94,15.252.191.197,RO95XQHR3360931323869118,2025-05-05 13:54:55,22517,786,208,1784286,3a1842f9-aac3-4b57-b535-d40b2fbdc059,true
Gicu Pușcașu,gicupușcașu,gicupușcașu@post.ro,3531208052926,1923-02-18,"Intrarea Andrian Georgescu Nr. 57 Bl. 15  Sc. 95 Ap. 701, Petrosani, 352977",0743 041 475,db:43:17:51:9d:78,53.65.230.107,RO81FFPH3006377169318361,2025-05-05 13:54:55,22071,932,73,284134,76c30690-5cdf-4483-b733-1350f4c7f2ad,true
Ionela Eftimie,ionelaeftimie,ionelaeftimie@acasa.ro,8530111136377,1944-09-22,"Strada Achim Stancu Nr. 972, Fundulea, 754317",0755 944 403,e5:e4:88:93:d1:43,118.130.205.221,RO35LCBL6473837140655849,2025-05-05 13:54:55,25462,866,175,1231080,c82c4c09-fcdb-418f-a56d-5088c2b7c29a,true
